Sample,Lat.,Long.,Coll. Date,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Cr,Co,Ni,Cu,Zn,Li,Rb,Cs,Sr,Ba,Ba,Y,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Zr,Hf,Nb,Ta,Th,U
IM-08,44.559642,-117.044848,28-Aug-90,55.60,2.26,13.70,12.40,0.22,3.35,6.62,3.33,1.94,0.58,33.30,,6.20,29.20,11.00,,,,48.00,0.91,305.00,785.00,796.00,,27.10,61.30,26.00,7.78,2.40,,1.25,,4.05,0.52,198.00,5.24,,0.86,5.54,1.50
IM-09,44.561433,-117.044194,28-Aug-90,55.70,1.52,14.40,10.80,0.17,4.27,8.01,3.28,1.48,0.37,36.90,,10.60,34.30,14.00,,,,33.00,2.10,370.00,715.00,740.00,,21.70,45.30,16.30,5.88,1.61,,0.81,,3.31,0.44,169.00,4.42,,0.42,2.69,0.90
IM-10,44.562369,-117.047587,28-Aug-90,56.00,2.24,13.70,12.20,0.20,3.37,6.56,3.22,1.92,0.63,31.90,,7.80,28.30,17.00,,,,55.00,1.10,295.00,720.00,715.00,,25.80,57.80,28.50,7.57,2.31,,1.25,,4.03,0.52,195.00,5.22,,0.88,5.21,1.80
IM-11,44.563059,-117.044812,28-Aug-90,55.00,1.84,14.00,12.10,0.19,4.00,7.80,3.16,1.43,0.45,37.10,,7.70,35.70,14.00,,,,35.00,3.27,393.00,630.00,671.00,,24.40,52.50,19.40,6.64,1.92,,1.01,,3.54,0.48,184.00,4.84,,0.59,3.13,0.90
IM-12,44.564678,-117.043024,28-Aug-90,54.60,1.70,14.10,11.80,0.20,4.38,7.89,3.51,1.38,0.44,37.90,,16.30,35.40,21.00,,,,33.00,1.56,364.00,,641.00,,22.90,50.20,,6.38,1.84,,0.99,,3.61,0.43,184.00,4.57,,0.55,2.82,
IM-13,44.565009,-117.042253,28-Aug-90,53.10,1.41,14.80,10.60,0.16,5.77,10.26,2.74,0.84,0.37,40.90,,80.10,37.20,30.00,,,,17.00,0.76,389.00,340.00,393.00,,16.30,36.50,20.50,4.92,1.52,,0.76,,2.76,0.37,138.00,3.46,,0.43,1.50,0.40
IM-14,44.566167,-117.041406,28-Aug-90,55.10,2.23,14.00,12.50,0.18,3.75,6.53,3.35,1.89,0.44,32.90,,12.10,35.50,18.00,,,,49.00,1.74,299.00,685.00,712.00,,24.60,56.10,29.20,7.23,2.15,,1.16,,3.95,0.51,192.00,5.83,,0.73,5.18,1.90
IM-16,44.568677,-117.033196,28-Aug-90,55.60,1.80,14.40,11.30,0.18,4.14,7.67,3.27,1.39,0.27,33.90,,9.20,39.00,15.00,,,,37.00,0.84,331.00,535.00,573.00,,19.20,43.80,18.90,5.70,1.79,,0.95,,2.80,0.38,171.00,4.76,,0.71,4.68,1.80
IM-18,44.536641,-117.060035,29-Aug-90,52.30,2.35,13.80,13.30,0.23,4.50,9.19,3.01,0.93,0.34,39.00,,43.60,43.10,33.00,,,,25.00,3.53,283.00,325.00,369.00,,16.70,38.70,24.60,6.69,2.13,,1.26,,3.79,0.51,198.00,5.32,,0.66,1.94,0.50
IM-19,44.534816,-117.065889,29-Aug-90,50.70,1.92,18.20,9.50,0.13,5.31,10.20,3.10,0.66,0.26,27.00,,123.00,41.00,97.00,,,,15.00,0.80,412.00,235.00,258.00,,12.40,30.40,17.70,4.76,1.74,,0.79,,2.38,0.31,143.00,3.78,,0.57,1.62,0.20
IM-20,44.535175,-117.065004,29-Aug-90,54.80,2.14,13.60,13.00,0.19,3.68,7.11,3.43,1.74,0.41,33.80,,9.60,38.70,10.00,,,,44.00,1.39,283.00,600.00,639.00,,23.50,49.10,25.60,6.61,1.98,,1.18,,3.39,0.49,195.00,4.85,,0.65,4.29,1.40
IM-21,44.536939,-117.065121,29-Aug-90,54.40,1.61,14.00,12.50,0.18,4.46,7.90,3.21,1.29,0.39,36.90,,14.80,33.00,19.00,,,,28.00,1.31,317.00,645.00,525.00,,20.90,43.90,23.50,5.80,1.70,,0.96,,3.48,0.45,146.00,4.18,,0.55,2.72,0.70
IM-24,44.542091,-117.037362,29-Aug-90,55.50,1.88,14.00,11.60,0.19,3.81,7.80,3.18,1.69,0.33,32.70,,21.60,33.50,26.00,,,,47.00,2.24,315.00,645.00,639.00,,23.10,46.80,23.50,6.13,1.78,,1.21,,3.17,0.47,183.00,4.64,,0.70,4.36,1.50
IM-25,44.538287,-117.040866,29-Aug-90,54.90,2.33,14.00,12.50,0.17,3.59,6.70,3.21,2.08,0.44,30.30,,9.30,32.20,18.00,,,,59.00,1.11,296.00,725.00,753.00,,26.40,52.00,30.30,7.41,1.93,,1.27,,3.69,0.48,221.00,5.20,,0.76,4.91,1.50
LLO-01,Little Lookout Mtn,28-May-94,,55.20,2.13,13.80,12.80,0.19,3.84,6.93,3.32,1.45,0.35,33.20,,20.70,35.60,11.00,,142.00,,32.00,0.82,290.00,615.00,652.00,,21.40,48.00,22.80,6.39,2.07,,0.97,,3.64,0.54,165.00,5.88,,0.69,3.86,2.40
LLO-02,Little Lookout Mtn,28-May-94,,54.80,2.13,13.80,12.90,0.21,3.93,7.51,3.34,1.42,0.00,34.70,,22.60,36.20,16.00,,129.00,,32.00,0.93,305.00,605.00,633.00,,21.60,42.00,25.70,6.49,2.09,,1.30,,3.83,0.54,,4.56,,0.57,4.02,2.40
LLO-03,Little Lookout Mtn,28-May-94,,54.80,2.69,13.70,12.70,0.19,3.75,6.99,3.26,1.58,0.35,32.60,,19.00,33.80,11.00,,140.00,,39.00,1.23,275.00,575.00,640.00,,21.10,35.00,27.70,6.57,1.98,,1.01,,3.69,0.55,176.00,5.59,,0.75,3.88,2.40
LLO-04,Little Lookout Mtn,28-May-94,,54.80,2.38,13.80,12.00,0.19,4.02,7.72,3.05,1.60,0.34,31.80,,45.90,41.80,60.00,,135.00,,33.00,0.56,378.00,530.00,613.00,,22.60,48.00,27.80,6.79,2.10,,1.27,,3.33,0.47,181.00,5.96,,0.93,4.55,1.80
LLO-05,Little Lookout Mtn,28-May-94,,53.90,2.09,14.00,12.40,0.21,4.18,8.24,2.72,1.75,0.47,36.70,,44.40,36.00,17.00,,126.00,,26.00,3.03,345.00,520.00,542.00,,19.20,47.00,27.20,6.39,1.94,,0.69,,3.76,0.55,164.00,4.96,,0.55,3.10,2.70
LLO-09,Little Lookout Mtn,31-May-94,,56.40,2.38,13.40,12.60,0.19,2.78,6.52,3.45,1.71,0.58,28.60,,8.20,33.80,10.00,,140.00,,51.00,0.87,306.00,660.00,702.00,,25.50,58.00,34.00,7.89,2.33,,1.40,,4.05,0.51,197.00,6.39,,0.99,5.32,2.00
LLO-12,Little Lookout Mtn,31-May-94,,51.10,2.56,14.50,13.20,0.22,4.86,8.97,3.12,1.05,0.35,35.00,,84.10,43.10,44.00,,130.00,,15.00,1.46,361.00,395.00,423.00,,18.30,32.60,24.50,6.88,2.15,,1.21,,3.78,0.55,189.00,6.47,,0.82,2.28,3.30
MC-01,44.610071,-116.927481,17-Jun-92,49.50,2.84,15.90,12.50,0.18,5.10,8.80,3.57,1.15,0.47,27.60,,101.00,42.60,104.00,,,,32.00,0.67,379.00,455.00,454.00,,23.90,52.60,32.10,8.01,2.30,,1.34,,3.48,0.45,246.00,6.27,,1.14,3.03,1.00
MC-02,44.610123,-116.927628,17-Jun-92,49.30,2.82,15.60,12.70,0.19,5.59,8.92,3.37,1.00,0.44,28.80,,109.00,45.80,145.00,,,,20.00,0.37,387.00,455.00,452.00,,22.40,53.30,30.40,7.69,2.26,,1.28,,3.50,0.50,218.00,6.17,,1.03,2.65,1.20
MC-03,44.610295,-116.954391,17-Jun-92,55.80,2.11,13.80,12.40,0.19,3.09,6.84,3.49,1.85,0.42,29.60,,4.20,33.90,14.00,,,,51.00,2.75,303.00,735.00,728.00,,25.30,52.10,23.00,6.81,1.88,,1.10,,3.65,0.49,186.00,5.07,,0.76,5.50,1.90
MC-04,44.605936,-116.962412,17-Jun-92,53.80,2.30,14.20,12.00,0.20,4.12,8.10,3.36,1.50,0.43,32.20,,33.60,36.90,39.00,,,,41.00,2.19,337.00,585.00,633.00,,21.40,46.50,24.60,6.41,1.96,,1.21,,3.28,0.45,196.00,5.14,,0.76,3.52,1.60
MC-05,44.574717,-116.953683,17-Jun-92,53.80,2.30,14.20,12.00,0.19,4.32,8.11,3.29,1.44,0.42,32.80,,34.90,38.00,38.00,,,,38.00,1.14,346.00,515.00,555.00,,23.20,48.80,25.20,6.87,1.99,,1.33,,3.30,0.44,203.00,5.38,,0.86,4.09,1.50
MC-06,44.574557,-116.947214,17-Jun-92,54.10,2.32,13.70,12.80,0.20,3.90,7.71,3.44,1.45,0.36,33.50,,12.90,37.30,18.00,,,,56.00,1.59,311.00,550.00,515.00,,22.30,47.00,26.70,7.06,2.06,,1.26,,3.64,0.52,206.00,5.54,,0.80,4.04,1.20
MC-07,44.5786,-116.939711,17-Jun-92,51.00,2.52,15.00,12.60,0.19,4.62,9.07,3.46,1.08,0.41,32.40,,80.60,37.70,38.00,,,,31.00,0.40,319.00,415.00,396.00,,20.90,43.70,28.30,7.30,2.06,,1.28,,3.83,0.51,207.00,5.51,,0.86,2.28,0.90
MC-08,44.538909,-116.973882,18-Jun-92,56.80,2.07,13.80,11.60,0.15,3.27,6.12,3.76,1.99,0.41,29.80,,9.10,32.00,8.00,,,,58.00,1.11,306.00,780.00,801.00,,27.60,55.50,27.80,6.97,1.95,,1.14,,3.42,0.48,213.00,5.60,,0.80,6.51,1.90
MC-10,44.514558,-116.95804,18-Jun-92,53.90,1.99,15.00,10.30,0.17,4.80,9.48,2.85,1.13,0.30,34.50,,99.00,41.70,26.00,,,,,1.11,379.00,440.00,401.00,,17.50,38.10,20.80,5.50,1.79,,0.96,,2.69,0.34,151.00,4.24,,0.63,2.76,1.30
MC-11,44.516683,-116.950547,18-Jun-92,54.90,2.26,14.40,12.00,0.19,3.46,7.60,3.15,1.70,0.37,32.60,,16.80,35.20,9.00,,,,,1.43,322.00,605.00,572.00,,23.50,50.80,27.50,7.14,2.07,,1.25,,3.85,0.52,195.00,5.80,,0.88,4.25,1.40
MC-12,44.523569,-116.950652,18-Jun-92,54.60,2.22,14.40,12.20,0.19,3.58,7.64,3.24,1.56,0.39,30.90,,17.10,33.30,13.00,,,,,1.36,329.00,590.00,567.00,,22.40,46.30,26.80,6.88,2.02,,1.32,,3.65,0.50,183.00,5.52,,0.85,3.96,1.60
MC-13,44.54594,-116.944475,18-Jun-92,54.70,2.31,13.70,12.70,0.20,3.84,7.62,3.14,1.46,0.40,32.80,,13.90,36.60,15.00,,,,,2.23,316.00,585.00,516.00,,21.30,45.90,29.90,7.09,1.96,,1.03,,3.51,0.52,205.00,5.41,,0.78,3.96,2.20
MC-15,44.533472,-116.944793,18-Jun-92,56.00,2.15,13.80,11.60,0.20,3.67,7.26,2.94,2.02,0.35,32.60,,9.70,36.10,14.00,,,,,1.35,316.00,645.00,583.00,,23.90,50.70,28.20,7.14,2.01,,1.30,,4.08,0.56,182.00,5.70,,0.81,4.22,2.10
MCX-1,44.51552,-116.9589,3-Jun-96,56.80,2.33,14.80,10.30,0.17,3.52,6.39,3.51,1.82,0.38,34.10,,23.50,35.00,20.00,,,,39.00,1.96,381.00,680.00,714.00,,22.50,50.70,39.40,6.38,1.98,,1.13,,3.08,0.55,206.00,5.47,,0.68,3.64,1.30
MCX-2,44.51552,-116.9589,3-Jun-96,55.60,2.11,14.70,11.10,0.16,4.00,7.25,3.29,1.49,0.32,27.60,,15.80,37.80,19.00,,,,34.00,0.75,375.00,570.00,660.00,,21.90,49.00,34.60,6.43,1.88,,1.03,,2.36,0.42,206.00,5.40,,0.74,4.58,1.70
MCX-3,44.51552,-116.9589,3-Jun-96,55.50,2.04,14.60,10.80,0.16,4.08,7.36,3.67,1.46,0.29,27.60,,16.10,37.50,16.00,,,,39.00,0.66,382.00,550.00,666.00,,22.30,50.30,25.40,6.31,1.91,,0.99,,2.49,0.42,209.00,5.36,,0.73,4.79,1.30
MCX-4,44.51552,-116.9589,3-Jun-96,55.60,1.98,14.60,10.70,0.16,4.33,7.46,3.36,1.47,0.30,28.30,,16.20,37.00,14.00,,110.00,,45.00,0.61,381.00,595.00,654.00,,21.90,49.20,26.40,6.40,1.89,,1.01,,2.85,0.41,201.00,5.28,,0.74,4.97,1.60
MCX-5,44.51552,-116.9589,3-Jun-96,56.20,2.43,15.40,10.40,0.23,3.36,6.43,3.54,1.62,0.38,36.60,,24.40,40.50,21.00,,201.00,,48.00,2.11,394.00,685.00,732.00,,22.00,52.40,27.90,6.82,2.13,,1.33,,2.91,0.45,213.00,5.95,,0.93,4.55,1.50
MCX-6,44.51552,-116.9589,3-Jun-96,55.30,2.07,14.80,11.10,0.14,4.04,7.40,3.30,1.55,0.31,27.90,,15.60,35.70,9.00,,119.00,,36.00,0.73,378.00,580.00,655.00,,21.40,48.10,25.80,6.18,1.91,,0.99,,2.79,0.41,198.00,5.16,,0.82,4.72,1.30
MCX-7,44.51552,-116.9589,3-Jun-96,54.60,2.05,13.50,10.60,0.14,5.37,7.32,4.60,1.47,0.39,28.70,,21.10,35.90,,,128.00,,27.00,0.70,383.00,610.00,678.00,,22.30,48.20,25.40,6.14,1.90,,0.91,,3.11,0.40,203.00,5.46,,1.00,4.63,2.00
NM-1,"NE1/4 sec 16, T.18N. R.1E.",17-Jul-94,,55.10,2.18,13.90,12.40,0.21,3.88,7.10,3.38,1.47,0.34,32.40,,10.50,36.70,22.00,,132.00,,29.00,0.83,336.00,560.00,654.00,,22.30,48.00,26.40,6.82,2.11,,1.05,,3.74,0.52,203.00,5.31,,0.81,4.34,1.60
PM-01,44.429596,-117.529834,30-Jul-88,55.70,2.03,13.80,12.60,0.20,3.14,6.47,3.72,1.76,0.55,33.90,,2.00,32.20,,,,,43.00,1.38,307.00,650.00,703.00,,23.60,56.50,27.10,7.60,2.18,,1.13,,4.63,0.65,,5.66,,0.85,4.61,1.40
PM-02,44.430966,-117.519718,30-Jul-88,55.30,2.00,13.10,14.20,0.30,1.97,6.29,3.59,2.20,1.02,52.40,,2.00,12.60,,,,,55.00,2.30,329.00,1210.00,1175.00,,37.60,83.20,41.10,11.31,4.51,,1.66,,6.56,0.96,,7.18,,1.16,5.60,1.00
PM-03,44.431054,-117.519598,30-Jul-88,54.00,2.25,13.60,13.40,0.19,3.66,6.97,3.27,2.03,0.55,34.90,,11.20,38.30,,,,,39.00,16.20,293.00,680.00,688.00,,25.80,55.80,25.50,7.06,2.17,,1.03,,4.22,0.52,,5.20,,0.75,5.98,1.60
PM-04,44.43117,-117.519397,30-Jul-88,53.90,2.21,13.70,13.30,0.18,3.79,7.20,3.24,1.96,0.55,34.70,,14.10,37.90,,,,,48.00,1.58,294.00,660.00,661.00,,24.90,52.60,23.20,6.94,2.07,,0.86,,4.29,0.54,,5.04,,0.71,5.63,1.50
PM-05,44.431496,-117.517746,30-Jul-88,54.20,2.14,13.60,13.80,0.19,3.50,7.19,3.52,1.39,0.46,35.70,,11.30,38.70,,,,,45.00,1.29,312.00,650.00,606.00,,21.80,49.70,24.70,6.72,2.16,,1.00,,4.31,0.51,,5.54,,0.82,4.33,2.00
PM-06,44.431558,-117.516738,30-Jul-88,53.20,2.13,13.60,13.80,0.22,3.97,7.09,3.57,1.80,0.68,36.80,,15.80,36.80,,,,,38.00,1.25,300.00,610.00,666.00,,23.80,50.70,25.10,6.77,2.03,,0.69,,3.97,0.50,,4.45,,0.48,4.50,1.70
PM-07,44.431046,-117.514798,30-Jul-88,54.30,1.94,13.70,12.80,0.20,3.95,7.39,3.34,2.05,0.43,36.60,,10.90,38.30,,,,,46.00,,282.00,660.00,669.00,,22.40,47.50,25.30,6.03,1.83,,1.19,,3.73,0.49,,4.96,,0.82,4.89,1.60
PM-08,44.431006,-117.510845,30-Jul-88,54.10,1.93,13.70,13.00,0.20,3.93,7.31,3.42,1.98,0.44,33.40,,6.80,36.80,,,,,40.00,1.19,281.00,580.00,699.00,,23.20,49.70,24.70,6.55,2.10,,0.96,,3.76,0.46,,5.58,,0.82,5.30,2.10
PM-09,44.431491,-117.50588,30-Jul-88,53.40,2.02,14.00,12.80,0.20,4.28,7.85,3.44,1.66,0.39,36.30,,14.80,38.30,,,,,37.00,0.52,382.00,540.00,577.00,,18.30,37.00,18.80,5.53,1.80,,0.82,,3.93,0.42,,4.15,,0.59,3.84,1.40
PM-10,44.432132,-117.504635,30-Jul-88,54.10,2.11,13.90,12.90,0.17,4.10,7.63,3.33,1.32,0.44,33.70,,8.00,37.40,,,,,26.00,0.84,323.00,500.00,525.00,,20.00,40.60,22.60,6.04,1.91,,0.93,,3.57,0.43,,4.72,,0.76,3.92,1.60
PM-11,44.434169,-117.501546,30-Jul-88,53.20,1.96,13.90,13.10,0.20,4.17,8.00,3.60,1.38,0.54,37.40,,16.60,38.50,,,,,19.00,0.73,311.00,590.00,598.00,,19.90,40.90,22.40,5.96,1.87,,0.85,,3.80,0.45,,4.64,,0.65,3.57,1.20
PM-12,44.434378,-117.500056,30-Jul-88,55.40,1.95,14.00,12.00,0.19,3.54,7.25,3.18,2.07,0.50,31.10,,5.50,33.30,,,,,56.00,1.64,289.00,650.00,621.00,,22.10,45.00,23.60,6.33,1.84,,0.73,,3.69,0.45,,4.78,,0.68,5.60,1.90
PM-13,Pedro Mtn.,,30-Jul-88,54.20,1.91,14.10,12.10,0.18,4.43,7.71,3.29,1.78,0.41,34.30,,21.30,36.90,,,,,31.00,1.42,348.00,480.00,529.00,,18.40,39.30,20.30,5.90,1.86,,0.70,,3.26,0.42,,4.58,,0.70,3.88,1.90
PM-14,Pedro Mtn.,,30-Jul-88,54.60,2.13,14.10,12.40,0.18,3.65,7.38,3.27,1.77,0.50,32.90,,4.30,36.20,,,,,46.00,1.30,336.00,520.00,581.00,,21.20,45.30,23.70,6.60,2.10,,1.14,,3.74,0.47,,5.21,,0.77,4.11,1.30
PM-15,Pedro Mtn.,,30-Jul-88,52.80,1.96,14.70,11.90,0.18,4.87,9.02,2.88,1.23,0.42,34.40,,66.10,39.50,,,,,27.00,1.61,332.00,400.00,422.00,,16.40,34.00,19.40,5.46,1.76,,0.86,,3.13,0.40,,4.06,,0.66,2.98,1.10
PM-16,Pedro Mtn.,,1-Jun-94,55.60,1.90,14.10,11.70,0.17,3.64,6.97,3.44,1.92,0.53,30.20,,4.70,34.10,,,,,46.00,1.95,293.00,605.00,646.00,,22.10,47.30,25.30,6.42,1.90,,0.89,,3.40,0.48,,5.14,,0.76,6.82,2.90
SC-01,44.604608,-116.996751,30-Aug-90,56.10,2.22,13.60,12.20,0.24,3.34,6.64,3.50,1.72,0.49,32.40,,4.30,31.30,8.00,,,,41.00,0.79,320.00,640.00,691.00,,23.30,51.20,25.30,6.96,2.21,,0.95,,4.02,0.52,203.00,5.04,,0.92,4.75,1.20
SC-02,44.610217,-116.988254,30-Aug-90,56.30,2.25,13.80,11.80,0.19,2.77,6.58,3.67,2.05,0.53,28.90,,6.10,28.10,52.00,,,,42.00,8.36,354.00,750.00,734.00,,25.60,56.40,28.10,6.61,2.13,,0.94,,3.10,0.44,181.00,4.68,,0.69,6.58,2.00
SC-03,44.60884,-116.992227,30-Aug-90,54.80,1.73,14.40,12.00,0.18,4.66,7.88,2.84,1.33,0.26,31.60,,8.20,34.00,10.00,,,,45.00,0.72,324.00,570.00,597.00,,24.70,54.50,25.60,6.71,1.98,,0.96,,4.17,0.44,175.00,5.24,,0.86,6.23,1.70
SC-04,44.607323,-116.996789,30-Aug-90,56.40,2.15,14.00,12.00,0.21,3.50,6.77,2.84,1.75,0.37,33.50,,19.10,34.50,8.00,,,,39.00,1.00,335.00,440.00,707.00,,15.30,35.00,18.90,5.12,1.62,,0.66,,3.02,0.38,194.00,4.05,,0.67,3.90,1.20
SC-05,44.608082,-116.998638,30-Aug-90,56.40,2.20,14.10,11.00,0.21,3.62,7.09,3.03,1.89,0.38,35.60,,67.00,35.10,36.00,,,,25.00,2.05,358.00,420.00,432.00,,15.90,33.10,16.90,4.76,1.50,,0.67,,2.99,0.37,143.00,3.54,,0.54,2.97,0.70
SC-06,44.608756,-116.999464,30-Aug-90,54.00,1.64,14.70,10.40,0.19,5.34,9.82,2.57,1.09,0.27,32.00,,9.50,31.80,13.00,,,,43.00,2.59,315.00,635.00,640.00,,18.40,40.20,21.90,5.61,1.76,,0.85,,3.53,0.41,182.00,4.28,,0.63,3.82,1.30
SC-07,44.607492,-117.000565,30-Aug-90,55.30,2.26,13.40,12.70,0.21,3.25,7.20,3.63,1.63,0.40,33.10,,4.40,31.90,,,,,44.00,3.76,313.00,675.00,659.00,,21.60,47.50,28.00,6.69,2.05,,1.01,,4.03,0.48,189.00,5.05,,0.85,4.39,1.50
SC-08,44.606986,-117.000762,30-Aug-90,56.00,2.29,13.50,12.30,0.22,3.23,6.99,3.40,1.66,0.43,33.20,,5.00,31.20,2.00,,,,41.00,0.74,316.00,685.00,691.00,,23.50,51.40,28.30,7.20,2.13,,1.05,,4.52,0.55,205.00,5.34,,0.76,4.68,1.50
